park,park_runs_per_inning,half_innings
ANA01,-0.06008709,85548
ARL01,-0.037087493,31493
ARL02,0.0070341122,36965
ARL03,-0.055527173,7737
ATL01,0.0014118744,43590
ATL02,-0.05273846,28937
ATL03,-0.048069533,11997
BAL11,-0.06990224,54121
BAL12,-0.037902396,47647
BIR01,0.07358771,17
BOS05,0.10443621,6371
BOS06,-0.028097892,2776
BOS07,-0.006497536,154939
BOS08,-0.028308926,47418
BST01,-0.17058207,18
BUF05,0.041919414,854
CHI08,0.023209583,8302
CHI09,-0.111326404,546
CHI10,-0.034090884,107854
CHI11,-0.005162083,152426
CHI12,-0.038180627,49019
CIN06,6.1624465e-05,2781
CIN07,-0.018622352,81401
CIN08,-0.026744775,46131
CIN09,-0.002104396,32352
CLE06,0.0038977358,40548
CLE07,-0.037059292,74359
CLE08,-0.050348923,44542
DEN01,0.13374195,2438
DEN02,0.11411561,43542
DET02,0.07085541,2717
DET04,-0.01857801,116543
DET05,-0.03814424,36552
DUN01,0.0048113926,386
DYE01,0.09344384,36
FTB01,-0.16372629,18
HON01,-0.2622617,53
HOU01,-0.07217109,4382
HOU02,-0.07028672,50100
HOU03,-0.03748757,36541
JER02,-0.17203191,270
KAN05,0.004955382,24022
KAN06,-0.023686908,74664
LAS01,0.09315238,119
LBV01,0.04303656,108
LON01,0.17741229,107
LOS01,0.0071499147,5571
LOS02,0.104515746,1471
LOS03,-0.07641652,96888
MEX02,0.2677263,70
MIA01,-0.044191383,26922
MIA02,-0.04369856,19333
MIL05,-0.053311344,61995
MIL06,-0.015674686,35385
MIN02,0.010015586,29934
MIN03,-0.010446259,40115
MIN04,-0.022849515,22198
MNT01,0.034939714,193
MON01,0.0076554264,11563
MON02,-0.036440115,38632
NYC10,0.0075754593,1384
NYC12,-0.024031686,4095
NYC13,0.060431533,5379
NYC14,-0.008861827,76644
NYC15,0.008294062,60783
NYC16,-0.068513535,116036
NYC17,-0.045668636,67393
NYC20,-0.07083226,23674
NYC21,-0.05866997,23496
OAK01,-0.065723054,80840
OMA01,0.054659687,17
PHI09,0.09389183,36059
PHI11,-0.00812188,103234
PHI12,-0.021222863,47012
PHI13,-0.02794268,31047
PHO01,0.009520363,39665
PIT06,-0.006144745,79444
PIT07,-0.01909555,43263
PIT08,-0.02476139,35333
SAC01,0.05587298,1451
SAN01,-0.051364444,50017
SAN02,-0.06861052,31084
SEA01,0.036896348,1501
SEA02,-0.00331682,31473
SEA03,-0.09428141,37543
SEO01,0.21414831,36
SFO01,-0.039938834,2775
SFO02,-0.042191807,57078
SFO03,-0.062051445,36885
SJU01,-0.035417594,903
STL05,0.009912282,12422
STL07,0.018413806,111420
STL09,-0.04619289,57060
STL10,-0.05827039,27830
STP01,-0.048868433,38102
SYD01,-0.06856129,36
TAM02,0.0030049433,1436
TOK01,-0.1216806,229
TOR01,-0.003538544,17377
TOR02,-0.0347251,50267
WAS08,-0.023326876,1365
WAS09,-0.04541524,66131
WAS10,-0.038284883,18922
WAS11,-0.025109677,25116
WIL02,-0.1155126,141
